MeetingDate	Meeting_unscheduled
26.09.2018	0
01.08.2018	0
13.06.2018	0
02.05.2018	0
21.03.2018	0
31.01.2018	0
13.12.2017	0
01.11.2017	0
20.09.2017	0
26.07.2017	0
14.06.2017	0
03.05.2017	0
15.03.2017	0
01.02.2017	0
14.12.2016	0
02.11.2016	0
21.09.2016	0
27.07.2016	0
15.06.2016	0
27.04.2016	0
16.03.2016	0
27.01.2016	0
16.12.2015	0
28.10.2015	0
17.09.2015	0
29.07.2015	0
17.06.2015	0
29.04.2015	0
18.03.2015	0
28.01.2015	0
17.12.2014	0
29.10.2014	0
17.09.2014	0
30.07.2014	0
18.06.2014	0
30.04.2014	0
19.03.2014	0
04.03.2014	1
29.01.2014	0
18.12.2013	0
30.10.2013	0
16.10.2013	1
18.09.2013	0
31.07.2013	0
19.06.2013	0
01.05.2013	0
20.03.2013	0
30.01.2013	0
12.12.2012	0
24.10.2012	0
13.09.2012	0
01.08.2012	0
20.06.2012	0
25.04.2012	0
13.03.2012	0
25.01.2012	0
13.12.2011	0
28.11.2011	1
02.11.2011	0
21.09.2011	0
09.08.2011	0
01.08.2011	1
22.06.2011	0
27.04.2011	0
15.03.2011	0
26.01.2011	0
14.12.2010	0
03.11.2010	0
15.10.2010	1
21.09.2010	0
10.08.2010	0
23.06.2010	0
09.05.2010	1
28.04.2010	0
16.03.2010	0
27.01.2010	0
16.12.2009	0
04.11.2009	0
23.09.2009	0
12.08.2009	0
24.06.2009	0
03.06.2009	1
29.04.2009	0
18.03.2009	0
07.02.2009	1
28.01.2009	0
16.01.2009	1
16.12.2008	0
29.10.2008	0
07.10.2008	1
29.09.2008	1
16.09.2008	0
05.08.2008	0
24.07.2008	1
25.06.2008	0
30.04.2008	0
18.03.2008	0
10.03.2008	1
30.01.2008	0
21.01.2008	1
09.01.2008	1
11.12.2007	0
06.12.2007	1
31.10.2007	0
18.09.2007	0
16.08.2007	1
10.08.2007	1
07.08.2007	0
28.06.2007	0
09.05.2007	0
21.03.2007	0
31.01.2007	0
12.12.2006	0
25.10.2006	0
20.09.2006	0
08.08.2006	0
29.06.2006	0
10.05.2006	0
28.03.2006	0
31.01.2006	0
13.12.2005	0
01.11.2005	0
20.09.2005	0
09.08.2005	0
30.06.2005	0
03.05.2005	0
22.03.2005	0
02.02.2005	0
14.12.2004	0
10.11.2004	0
21.09.2004	0
10.08.2004	0
30.06.2004	0
04.05.2004	0
16.03.2004	0
28.01.2004	0
09.12.2003	0
28.10.2003	0
16.09.2003	0
12.08.2003	0
25.06.2003	0
06.05.2003	0
16.04.2003	1
08.04.2003	1
01.04.2003	1
25.03.2003	1
18.03.2003	0
29.01.2003	0
10.12.2002	0
06.11.2002	0
24.09.2002	0
13.08.2002	0
26.06.2002	0
07.05.2002	0
19.03.2002	0
30.01.2002	0
11.12.2001	0
06.11.2001	0
02.10.2001	0
17.09.2001	1
13.09.2001	1
21.08.2001	0
27.06.2001	0
15.05.2001	0
18.04.2001	1
11.04.2001	1
20.03.2001	0
31.01.2001	0
03.01.2001	1
19.12.2000	0
15.11.2000	0
03.10.2000	0
22.08.2000	0
28.06.2000	0
16.05.2000	0
21.03.2000	0
02.02.2000	0
21.12.1999	0
16.11.1999	0
05.10.1999	0
24.08.1999	0
30.06.1999	0
18.05.1999	0
30.03.1999	0
03.02.1999	0
22.12.1998	0
17.11.1998	0
15.10.1998	1
29.09.1998	0
21.09.1998	1
18.08.1998	0
01.07.1998	0
19.05.1998	0
31.03.1998	0
04.02.1998	0
