Date,TgtLow,TgtHigh,DeltaTgtLow,DeltaTgtHigh,FOMC Meeting Day Prior,FOMC Meeting Same Day,Meeting unscheduled
27/09/2018,0.020000,0.022500,0.0025,,1,0,0
14/06/2018,0.017500,0.020000,0.0025,,1,0,0
22/03/2018,0.015000,0.017500,0.0025,,1,0,0
14/12/2017,0.012500,0.015000,0.0025,,1,0,0
15/06/2017,0.010000,0.012500,0.0025,,1,0,0
16/03/2017,0.007500,0.010000,0.0025,,1,0,0
15/12/2016,0.005000,0.007500,0.0025,,1,0,0
17/12/2015,0.002500,0.005000,0.0025,,1,0,0
16/12/2008,0.000000,0.002500,-0.0075,-0.0100,0,1,0
29/10/2008,0.010000,,-0.0050,,0,1,0
08/10/2008,0.015000,,-0.0050,,1,0,1
30/04/2008,0.020000,,-0.0025,,0,1,0
18/03/2008,0.022500,,-0.0075,,0,1,0
30/01/2008,0.030000,,-0.0050,,0,1,0
22/01/2008,0.035000,,-0.0075,,1,0,1
11/12/2007,0.042500,,-0.0025,,0,1,0
31/10/2007,0.045000,,-0.0025,,0,1,0
18/09/2007,0.047500,,-0.0050,,0,1,0
29/06/2006,0.052500,,0.0025,,0,1,0
10/05/2006,0.050000,,0.0025,,0,1,0
28/03/2006,0.047500,,0.0025,,0,1,0
31/01/2006,0.045000,,0.0025,,0,1,0
13/12/2005,0.042500,,0.0025,,0,1,0
01/11/2005,0.040000,,0.0025,,0,1,0
20/09/2005,0.037500,,0.0025,,0,1,0
09/08/2005,0.035000,,0.0025,,0,1,0
30/06/2005,0.032500,,0.0025,,0,1,0
03/05/2005,0.030000,,0.0025,,0,1,0
22/03/2005,0.027500,,0.0025,,0,1,0
02/02/2005,0.025000,,0.0025,,0,1,0
14/12/2004,0.022500,,0.0025,,0,1,0
10/11/2004,0.020000,,0.0025,,0,1,0
21/09/2004,0.017500,,0.0025,,0,1,0
10/08/2004,0.015000,,0.0025,,0,1,0
30/06/2004,0.012500,,0.0025,,0,1,0
25/06/2003,0.010000,,-0.0025,,0,1,0
06/11/2002,0.012500,,-0.0050,,0,1,0
11/12/2001,0.017500,,-0.0025,,0,1,0
06/11/2001,0.020000,,-0.0050,,0,1,0
02/10/2001,0.025000,,-0.0050,,0,1,0
17/09/2001,0.030000,,-0.0050,,0,1,1
21/08/2001,0.035000,,-0.0025,,0,1,0
27/06/2001,0.037500,,-0.0025,,0,1,0
15/05/2001,0.040000,,-0.0050,,0,1,0
18/04/2001,0.045000,,-0.0050,,0,1,1
20/03/2001,0.050000,,-0.0050,,0,1,0
31/01/2001,0.055000,,-0.0050,,0,1,0
03/01/2001,0.060000,,-0.0050,,0,1,1
16/05/2000,0.065000,,0.0050,,0,1,0
21/03/2000,0.060000,,0.0025,,0,1,0
02/02/2000,0.057500,,0.0025,,0,1,0
16/11/1999,0.055000,,0.0025,,0,1,0
24/08/1999,0.052500,,0.0025,,0,1,0
30/06/1999,0.050000,,0.0025,,0,1,0
17/11/1998,0.047500,,-0.0025,,0,1,0
15/10/1998,0.050000,,-0.0025,,0,1,1
29/09/1998,0.052500,,-0.0025,,0,1,0
,,,,,,,
