MeetingDate,Meeting_unscheduled
1998-10-15 00:00:00,1
1998-11-17 00:00:00,0
1998-12-22 00:00:00,0
1999-02-03 00:00:00,0
1999-03-30 00:00:00,0
1999-05-18 00:00:00,0
1999-06-30 00:00:00,0
1999-08-24 00:00:00,0
1999-10-05 00:00:00,0
1999-11-16 00:00:00,0
1999-12-21 00:00:00,0
2000-02-02 00:00:00,0
2000-03-21 00:00:00,0
2000-05-16 00:00:00,0
2000-06-28 00:00:00,0
2000-08-22 00:00:00,0
2000-10-03 00:00:00,0
2000-11-15 00:00:00,0
2000-12-19 00:00:00,0
2001-01-03 00:00:00,1
2001-01-31 00:00:00,0
2001-03-20 00:00:00,0
2001-04-11 00:00:00,1
2001-04-18 00:00:00,1
2001-05-15 00:00:00,0
2001-06-27 00:00:00,0
2001-08-21 00:00:00,0
2001-09-13 00:00:00,1
2001-09-17 00:00:00,1
2001-10-02 00:00:00,0
2001-11-06 00:00:00,0
2001-12-11 00:00:00,0
2002-01-30 00:00:00,0
2002-03-19 00:00:00,0
2002-05-07 00:00:00,0
2002-06-26 00:00:00,0
2002-08-13 00:00:00,0
2002-09-24 00:00:00,0
2002-11-06 00:00:00,0
2002-12-10 00:00:00,0
2003-01-29 00:00:00,0
2003-03-18 00:00:00,0
2003-03-25 00:00:00,1
2003-04-01 00:00:00,1
2003-04-08 00:00:00,1
2003-04-16 00:00:00,1
2003-05-06 00:00:00,0
2003-06-25 00:00:00,0
2003-08-12 00:00:00,0
2003-09-16 00:00:00,0
2003-10-28 00:00:00,0
2003-12-09 00:00:00,0
2004-01-28 00:00:00,0
2004-03-16 00:00:00,0
2004-05-04 00:00:00,0
2004-06-30 00:00:00,0
2004-08-10 00:00:00,0
2004-09-21 00:00:00,0
2004-11-10 00:00:00,0
2004-12-14 00:00:00,0
2005-02-02 00:00:00,0
2005-03-22 00:00:00,0
2005-05-03 00:00:00,0
2005-06-30 00:00:00,0
2005-08-09 00:00:00,0
2005-09-20 00:00:00,0
2005-11-01 00:00:00,0
2005-12-13 00:00:00,0
2006-01-31 00:00:00,0
2006-03-28 00:00:00,0
2006-05-10 00:00:00,0
2006-06-29 00:00:00,0
2006-08-08 00:00:00,0
2006-09-20 00:00:00,0
2006-10-25 00:00:00,0
2006-12-12 00:00:00,0
2007-01-31 00:00:00,0
2007-03-21 00:00:00,0
2007-05-09 00:00:00,0
2007-06-28 00:00:00,0
2007-08-07 00:00:00,0
2007-08-10 00:00:00,1
2007-08-16 00:00:00,1
2007-09-18 00:00:00,0
2007-10-31 00:00:00,0
2007-12-06 00:00:00,1
2007-12-11 00:00:00,0
2008-01-09 00:00:00,1
2008-01-21 00:00:00,1
2008-01-30 00:00:00,0
2008-03-10 00:00:00,1
2008-03-18 00:00:00,0
2008-04-30 00:00:00,0
2008-06-25 00:00:00,0
2008-07-24 00:00:00,1
2008-08-05 00:00:00,0
2008-09-16 00:00:00,0
2008-09-29 00:00:00,1
2008-10-07 00:00:00,1
2008-10-29 00:00:00,0
2008-12-16 00:00:00,0
2009-01-16 00:00:00,1
2009-01-28 00:00:00,0
2009-02-07 00:00:00,1
2009-03-18 00:00:00,0
2009-04-29 00:00:00,0
2009-06-03 00:00:00,1
2009-06-24 00:00:00,0
2009-08-12 00:00:00,0
2009-09-23 00:00:00,0
2009-11-04 00:00:00,0
2009-12-16 00:00:00,0
2010-01-27 00:00:00,0
2010-03-16 00:00:00,0
2010-04-28 00:00:00,0
2010-05-09 00:00:00,1
2010-06-23 00:00:00,0
2010-08-10 00:00:00,0
2010-09-21 00:00:00,0
2010-10-15 00:00:00,1
2010-11-03 00:00:00,0
2010-12-14 00:00:00,0
2011-01-26 00:00:00,0
2011-03-15 00:00:00,0
2011-04-27 00:00:00,0
2011-06-22 00:00:00,0
2011-08-01 00:00:00,1
2011-08-09 00:00:00,0
2011-09-21 00:00:00,0
2011-11-02 00:00:00,0
2011-11-28 00:00:00,1
2011-12-13 00:00:00,0
2012-01-25 00:00:00,0
2012-03-13 00:00:00,0
2012-04-25 00:00:00,0
2012-06-20 00:00:00,0
2012-08-01 00:00:00,0
2012-09-13 00:00:00,0
2012-10-24 00:00:00,0
2012-12-12 00:00:00,0
