Date,TRUS1MT,TRUS3MT,TRUS6MT,TRUS1YT,TRUS3YT,TRUS5YT,TRUS7YT,TRUS10YT,TRUS20CT,TRUS30YT,TgtLow,TgtHigh,Adjustment
1998-09-30,,4.281,4.33,4.41,4.26,4.231,,4.41,5.17,4.978,0.0525,,0.0
1998-10-01,,4.125,4.21,4.28,4.1,4.071,,4.291,5.09,4.876,0.0525,,0.0
1998-10-02,,4.193,4.22,4.29,4.13,4.055,,4.286,5.05,4.826,0.0525,,0.0
1998-10-05,,4.119,4.19,4.18,4.02,3.978,,4.164,4.93,4.719,0.0525,,0.0
1998-10-06,,4.118,4.22,4.22,4.1,4.019,,4.197,5.0,4.735,0.0525,,0.0
1998-10-07,,4.123,4.17,4.23,4.13,4.186,,4.329,5.09,4.859,0.0525,,0.0
1998-10-08,,3.838,3.98,4.11,4.24,4.29,,4.573,5.29,5.005,0.0525,,0.0
1998-10-09,,3.775,3.92,4.16,4.39,4.472,,4.799,5.5,5.147,0.0525,,0.0
1998-10-12,,3.774,3.92,4.16,4.39,4.472,,4.803,5.5,5.147,0.0525,,0.0
1998-10-13,,3.968,4.05,4.25,4.33,4.352,,4.72,5.49,5.09,0.0525,,0.0
1998-10-14,,4.004,4.06,4.19,4.25,4.356,,4.607,5.38,5.09,0.0525,,0.0
1998-10-15,,3.941,4.12,4.25,4.27,4.231,,4.41,5.4,5.014,0.05,,1.0
1998-10-16,,3.625,3.73,3.86,4.04,4.054,,4.446,5.3,4.978,0.05,,0.0
1998-10-19,,3.77,3.88,3.92,4.04,4.067,,4.463,5.32,4.98,0.05,,0.0
1998-10-20,,3.89,3.91,3.98,4.12,4.116,,4.565,5.42,5.053,0.05,,0.0
1998-10-21,,3.88,3.94,4.02,4.17,4.171,,4.572,5.41,5.076,0.05,,0.0
1998-10-22,,3.869,3.98,4.04,4.18,4.22,,4.605,5.46,5.135,0.05,,0.0
1998-10-23,,3.889,4.01,4.07,4.24,4.303,,4.691,5.47,5.179,0.05,,0.0
1998-10-26,,4.069,4.08,4.13,4.3,4.282,,4.667,5.38,5.109,0.05,,0.0
1998-10-27,,4.149,4.0,4.04,4.2,4.203,,4.598,5.33,5.08,0.05,,0.0
1998-10-28,,4.252,4.11,4.07,4.15,4.153,,4.561,5.34,5.121,0.05,,0.0
1998-10-29,,4.293,4.15,4.08,4.12,4.11,,4.499,5.31,5.08,0.05,,0.0
1998-10-30,,4.302,4.21,4.18,4.24,4.229,,4.605,5.38,5.153,0.05,,0.0
